127.0.0.1 - - [24/Aug/2026:16:20:15 +0530] "GET / HTTP/1.1" 200 11433
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/index.jsp HTTP/1.1" 200 47228
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 200 166577
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/hero-img.png HTTP/1.1" 200 221790
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/about-img.jpg HTTP/1.1" 200 116651
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/css/style.css HTTP/1.1" 200 10248
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/feature.png HTTP/1.1" 200 102914
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/project-1.jpg HTTP/1.1" 200 31663
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/project-2.jpg HTTP/1.1" 200 18433
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/js/main.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/project-3.jpg HTTP/1.1" 200 59739
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/team-3.jpg HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/team-1.jpg HTTP/1.1" 200 17199
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/team-2.jpg HTTP/1.1" 200 21418
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/team-4.jpg HTTP/1.1" 200 31026
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/testimonial-1.jpg HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/testimonial-2.jpg HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/testimonial-3.jpg HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:16 +0530] "GET /Project/img/newsletter.png HTTP/1.1" 200 37369
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:17 +0530] "GET /Project/img/bg-hero.png HTTP/1.1" 200 51029
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:17 +0530] "GET /Project/img/bg-about-img.png HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:17 +0530] "GET /Project/img/footer.png HTTP/1.1" 200 33156
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:17 +0530] "GET /Project/img/favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:20 +0530] "GET /Project/seller.jsp HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:23 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:30 +0530] "POST /Project/seller HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:33 +0530] "GET /Project/seller-upload-product.jsp HTTP/1.1" 200 6675
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:36 +0530] "GET /Project/seller-manage-product.jsp HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:36 +0530] "GET /Project/pimages/canva_ai.jpeg HTTP/1.1" 200 11959
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:44 +0530] "GET /Project/seller-profile.jsp HTTP/1.1" 200 6724
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:48 +0530] "GET /Project/seller-change-password.jsp HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:52 +0530] "GET /Project/seller-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:52 +0530] "GET /Project/seller-login.jsp HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:55 +0530] "GET /Project/customer.jsp HTTP/1.1" 200 5173
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:20:58 +0530] "GET /Project/customer-login.jsp HTTP/1.1" 200 5250
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:05 +0530] "POST /Project/customer HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:05 +0530] "GET /Project/pimages/hubspot.png HTTP/1.1" 200 3226
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:23 +0530] "POST /Project/cartcontroller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:23 +0530] "GET /Project/customer-home.jsp HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:25 +0530] "GET /Project/cart.jsp HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:35 +0530] "GET /Project/remove-cart.jsp?cart_id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:35 +0530] "GET /Project/cart.jsp HTTP/1.1" 200 6110
0:0:0:0:0:0:0:1 - - [24/Aug/2026:16:21:46 +0530] "GET /Project/about.jsp HTTP/1.1" 200 25915
